# x,y,z
-438.116,-509.264,145.032
-438.116,-463.810,133.061
-438.116,-418.356,135.562
-438.116,-372.902,130.488
-438.116,-327.448,135.830
-438.116,-281.994,128.230
-438.116,-236.540,117.929
-438.116,-191.086,113.493
-438.116,-145.631,114.770
-438.116,-100.177,118.882
-438.116,-54.723,132.886
-438.116,-9.269,156.519
-438.116,36.185,180.722
-438.116,81.639,197.134
-438.116,127.093,217.669
-438.116,172.547,239.177
-438.116,218.001,260.382
-438.116,263.455,281.251
-438.116,308.909,295.674
-438.116,354.364,309.173
-438.116,399.818,318.996
-438.116,445.272,325.240
-375.617,445.272,288.483
-375.617,399.818,289.944
-375.617,354.364,290.119
-375.617,308.909,278.788
-375.617,263.455,260.993
-375.617,218.001,244.947
-375.617,172.547,229.526
-375.617,127.093,211.697
-375.617,81.639,190.426
-375.617,36.185,169.809
-375.617,-9.269,164.128
-375.617,-54.723,135.420
-375.617,-100.177,108.748
-375.617,-145.631,93.944
-375.617,-191.086,87.815
-375.617,-236.540,90.461
-375.617,-281.994,90.943
-375.617,-327.448,100.979
-375.617,-372.902,100.981
-375.617,-418.356,112.073
-375.617,-463.810,130.727
-375.617,-509.264,137.605
-313.117,-509.264,134.050
-313.117,-463.810,125.919
-313.117,-418.356,99.660
-313.117,-372.902,77.377
-313.117,-327.448,69.073
-313.117,-281.994,61.977
-313.117,-236.540,66.634
-313.117,-191.086,67.147
-313.117,-145.631,83.927
-313.117,-100.177,98.541
-313.117,-54.723,128.891
-313.117,-9.269,157.799
-313.117,36.185,176.735
-313.117,81.639,188.049
-313.117,127.093,205.378
-313.117,172.547,218.384
-313.117,218.001,229.030
-313.117,263.455,243.681
-313.117,308.909,254.306
-313.117,354.364,257.180
-313.117,399.818,247.912
-313.117,445.272,252.534
-250.618,445.272,221.869
-250.618,399.818,218.631
-250.618,354.364,225.556
-250.618,308.909,227.652
-250.618,263.455,224.524
-250.618,218.001,213.998
-250.618,172.547,203.019
-250.618,127.093,191.479
-250.618,81.639,179.911
-250.618,36.185,175.219
-250.618,-9.269,152.962
-250.618,-54.723,112.051
-250.618,-100.177,91.681
-250.618,-145.631,71.887
-250.618,-191.086,51.998
-250.618,-236.540,44.745
-250.618,-281.994,41.559
-250.618,-327.448,35.432
-250.618,-372.902,49.062
-250.618,-418.356,75.616
-250.618,-463.810,101.488
